"id","state","year","region","state_calamity","calamity","dcb","rcl","juros","amortizacao","primario","dbp","rec_cor","desp_cor","investimentos","desp_total","rec_previdenciarias","inativos","rec_tributaria","obrig_fin","disp_caixa_bruta","stn_end","stn_sdrcl","stn_rpsd","stn_dprcl","stn_cgpp","stn_pidt","stn_pcrdp","stn_rtdc","capag_idc","capag_pc","capag_il"
"ap2012","ap",2012,"norte",FALSE,FALSE,1143083078,3344163675.76,24893490.58,38992343.6,-257026048.77,1577035401,4112686110.05,3050468146.14,273982895.83,3801176603.57,92564035,31976892.09,843193008.47,516719607,1064570919.4,0.341814333516502,0.0191036804337877,-4.02320877654696,0.471578413589939,0.348214737221272,0.0720784442303154,2.89471643271258,0.272925648756544,0.341814333516502,0.741721605907559,0.485378284887988
"ap2013","ap",2013,"norte",FALSE,FALSE,2225037265,3535062381.83,47957401.54,306136596.83,-116755038.88,1642624330,4341716963.14,3398244843.49,502974350.48,4481367347.76,40696026,49211405.78,906016400.54,237049474,1416000382.06,0.629419519281061,0.100166265859981,-0.32972894038718,0.464666292295996,0.27763512139433,0.112236804405559,0.826963289403516,0.244579672783841,0.629419519281061,0.782696079071984,0.167407775452108
"ap2014","ap",2014,"norte",FALSE,FALSE,2483028270.11,4020130039.48,82115698.58,68575661.25,-410822127.05,1858838214.71,4899082882.02,3672589979.01,407540646.99,4498370609.15,60534782.09,51629027.72,1019852706.2,201498719.89,1027896422.53,0.61764874412649,0.0374842003492732,-2.72624872131662,0.462382608635824,0.333958571476748,0.0905973923449157,1.17249510136621,0.272602927607643,0.61764874412649,0.749648468387559,0.196030179182883
"ap2015","ap",2015,"norte",FALSE,FALSE,2671177076.68,3875537366.92,137145262.1,85551948.11,-44630075.65,1758084359.18,4758054140.83,3569552074.03,439542234.29,4106034601.23,99240422.27,60612856.8,891911844.68,1740317333.42,1741427230.9,0.68924043914015,0.0574622791953581,-0.200406981335395,0.453636281302894,0.332955519950768,0.107047864174922,1.63728336708261,0.244018183689831,0.68924043914015,0.750212580264445,0.999362650669344
"ap2016","ap",2016,"norte",FALSE,FALSE,2809429087.46,4872773878.98,121032373.15,104704322.55,-444222131.89,1964690402.46,5496374349.87,3836120411.1,139100666.12,4091210019.22,111718268.07,96268961.23,954291092,389202284.41,2843235919.92,0.576556424992183,0.0463261175885413,-1.96787735601642,0.403197532094648,0.432795053556185,0.0339998840114593,1.16048066419964,0.24215517220329,0.576556424992183,0.697936524500143,0.136887087590308
"ba2008","ba",2008,"nordeste",FALSE,FALSE,11498748122.71,14237786082.39,565027310.39,1457754671.44,1437345616.83,7814206896.15,20172955352.03,17002089970.13,1201702732.85,19875029144.25,554267721.83,2115209644.35,10886567714.36,708831154.11,1639270530.14,0.807621919318778,0.142071384562511,0.710578613879901,0.548835812740226,0.186498565027636,0.0604629419221587,0.262039142697047,0.58974319262928,0.807621919318778,0.842816021422418,0.43240645218545
"ba2009","ba",2009,"nordeste",FALSE,FALSE,10424316130.58,14671427308.15,525354318.27,1265723919.92,737978203.44,8809431619.36,20915399691.11,18534874426.13,1329025133.52,21374933566.47,634292466.97,2450194672.27,10840388417.88,478885376.84,1101501657.08,0.710518200556348,0.122079345149674,0.412030132299399,0.600448165971306,0.128434928138709,0.0621768076792897,0.258874314824281,0.547477820034794,0.710518200556348,0.886183132995932,0.43475683741547
"ba2010","ba",2010,"nordeste",FALSE,FALSE,10425936246.91,17372550742.29,510138491.47,871906353.99,744512931.71,9607936700.85,24652004774.24,21502299427.01,2046146130.78,24667993043.26,711420045.35,2790765465.93,12876988650.86,710979960.24,1749702629.96,0.600138482918927,0.0795533635769265,0.538703888050895,0.553052734936695,0.146482256835914,0.0829474099166355,0.254919323760847,0.575528301513837,0.600138482918927,0.872233298018777,0.406343311180971
"ba2011","ba",2011,"nordeste",FALSE,FALSE,10414665145.31,19226970363.7,503486354.13,911908263.66,1176723648.04,10805276934.43,27440408829.43,24070823872.97,1752502440.91,27139530002.37,804819386.82,3287660213.35,14183218585.06,915304385.6,1991477181.96,0.541669589555961,0.0736150621245158,0.831374963031397,0.561985415800613,0.139986274430923,0.0645737947841013,0.244800050671879,0.567720876463483,0.541669589555961,0.877203543963015,0.459610782333525
"ba2012","ba",2012,"nordeste",FALSE,FALSE,13474097572.47,21624180849.01,515961268.4,1032095211.12,1278945427.31,12255941909.34,30557271794.44,27075280938.53,1836280061.97,30380176908.56,918739773.27,3901689435.94,15864323802.35,1161563615.38,4023953937.81,0.623103259566333,0.0715891385819072,0.826161993589897,0.566770227964548,0.128604052671338,0.0604433630356051,0.235472296899678,0.564418525510342,0.623103259566333,0.886050335928761,0.288662254422368
